"embryo","label","dataset","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","time_md_start","gb_pct_md_start","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","microns_per_second","microns_per_minute"
"btd-gap-stg_4_z3_t59s_E3","3D_btd-gap-stg_4_z3_t59s_E3.tif:0052-0128-1225:51","3D_btd-gap-stg_4_z3_t59s_E3.tif",402,296,42,52,106,10,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.179661016949153,10.7796610169492
"btd-gap-stg_4_z3_t59s_E4","3D_btd-gap-stg_4_z3_t59s_E4.tif:0083-0046-1350:82","3D_btd-gap-stg_4_z3_t59s_E4.tif",428,342,73,83,86,10,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.145762711864407,8.74576271186441
"btd-gap-stg_4_z3_t59s_E6","3D_btd-gap-stg_4_z3_t59s_E6.tif:0026-0117-1247:25","3D_btd-gap-stg_4_z3_t59s_E6.tif",412,300,16,26,112,10,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.189830508474576,11.3898305084746
"btd-gap-stg_4_z3_t59s_E7","3D_btd-gap-stg_4_z3_t59s_E7.tif:0014-0108-1203:13","3D_btd-gap-stg_4_z3_t59s_E7.tif",400,286,4,14,114,10,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,59,172,2,NA,2,TRUE,0.193220338983051,11.5932203389831
"btd-gap-stg_4_z3_t59s_E8","3D_btd-gap-stg_4_z3_t59s_E8.tif:0062-0161-1268:61","3D_btd-gap-stg_4_z3_t59s_E8.tif",415,308,52,62,107,10,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,TRUE,0.18135593220339,10.8813559322034
"btd-gap-stg_7_z3_60s_E1","3D_btd-gap-stg_7_z3_60s_E1.tif:0013-0204-1274:12","3D_btd-gap-stg_7_z3_60s_E1.tif",416,311,3,13,105,10,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double homozygote","lateral",0.2853696,0.2853696,3,NA,60,109,0,NA,0,FALSE,0.175,10.5
"btd-gap-stg_7_z3_60s_E16","3D_btd-gap-stg_7_z3_60s_E16.tif:0033-0106-1257:32","3D_btd-gap-stg_7_z3_60s_E16.tif",419,298,23,33,121,10,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,60,109,1,NA,1,TRUE,0.201666666666667,12.1
"btd-gap-stg_7_z3_60s_E17","3D_btd-gap-stg_7_z3_60s_E17.tif:0036-0132-1286:35","3D_btd-gap-stg_7_z3_60s_E17.tif",425,308,26,36,117,10,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,60,109,1,NA,1,FALSE,0.195,11.7
"btd-gap-stg_7_z3_60s_E18","3D_btd-gap-stg_7_z3_60s_E18.tif:0058-0084-1391:57","3D_btd-gap-stg_7_z3_60s_E18.tif",450,343,48,58,107,10,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,60,109,0,NA,0,FALSE,0.178333333333333,10.7
"btd-gap-stg_7_z3_60s_E19","3D_btd-gap-stg_7_z3_60s_E19.tif:0013-0109-1272:12","3D_btd-gap-stg_7_z3_60s_E19.tif",431,295,3,13,136,10,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,60,109,1,NA,1,FALSE,0.226666666666667,13.6
"btd-gap-stg_7_z3_60s_E2","3D_btd-gap-stg_7_z3_60s_E2.tif:0031-0132-1296:30","3D_btd-gap-stg_7_z3_60s_E2.tif",432,308,21,31,124,10,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,60,109,2,NA,2,TRUE,0.206666666666667,12.4
"btd-gap-stg_7_z3_60s_E20","3D_btd-gap-stg_7_z3_60s_E20.tif:0057-0112-1392:56","3D_btd-gap-stg_7_z3_60s_E20.tif",450,344,47,57,106,10,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,60,109,1,NA,1,TRUE,0.176666666666667,10.6
"btd-gap-stg_7_z3_60s_E3","3D_btd-gap-stg_7_z3_60s_E3.tif:0051-0123-1335:50","3D_btd-gap-stg_7_z3_60s_E3.tif",445,317,41,51,128,10,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double homozygote","lateral",0.2853696,0.2853696,3,NA,60,109,0,NA,0,FALSE,0.213333333333333,12.8
"btd-gap-stg_7_z3_60s_E5","3D_btd-gap-stg_7_z3_60s_E5.tif:0025-0160-1301:24","3D_btd-gap-stg_7_z3_60s_E5.tif",441,301,15,25,140,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,60,109,1,NA,1,FALSE,0.233333333333333,14
"btd-gap-stg_7_z3_60s_E6","3D_btd-gap-stg_7_z3_60s_E6.tif:0044-0197-1349:43","3D_btd-gap-stg_7_z3_60s_E6.tif",435,335,34,44,100,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-18_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,60,109,0,NA,0,FALSE,0.166666666666667,10
"btd-gap-stg_8_z3_45s_E3","3D_btd-gap-stg_8_z3_45s_E3.tif:0047-0099-1445:46","3D_btd-gap-stg_8_z3_45s_E3.tif",444,381,37,47,63,10,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-31_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,45,170,0,NA,0,FALSE,0.14,8.4
"btd-gap-stg_8_z3_45s_E8","3D_btd-gap-stg_8_z3_45s_E8.tif:0011-0207-1451:10","3D_btd-gap-stg_8_z3_45s_E8.tif",435,393,1,11,42,10,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-31_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","stg homozygote","lateral",0.2853696,0.2853696,3,NA,45,170,1,NA,1,FALSE,0.0933333333333333,5.6
"btd-gap2_z3_t55s_E12","3D_btd-gap2_z3_t55s_E12.tif:0068-0112-1462:67","3D_btd-gap2_z3_t55s_E12.tif",459,375,58,68,84,10,8.4,"3D_btd-gap2_z3_t55s_E12.tif:0072-0219-0979:71",511,24,535,470,328,446,304,12.720156555773,40.5088062622309,47,56,72,8.25,22.9166666666667,"3D_btd-gap2_z3_t55s_E12.tif:0065-0093-1460:64",444,389,60,65,11.9166666666667,17.8082191780822,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,0.152727272727273,9.16363636363636
"btd-gap2_z3_t55s_E14","3D_btd-gap2_z3_t55s_E14.tif:0053-0068-1408:52","3D_btd-gap2_z3_t55s_E14.tif",439,364,43,53,75,10,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3D_btd-gap2_z3_t55s_E14.tif:0055-0065-1361:54",416,361,49,55,NA,NA,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853718,0.2853718,3,NA,55,195,0,NA,0,FALSE,0.136363636363636,8.18181818181818
"btd-gap2_z3_t55s_E7","3D_btd-gap2_z3_t55s_E7.tif:0047-0113-1382:46","3D_btd-gap2_z3_t55s_E7.tif",433,355,37,47,78,10,7.8,"3D_btd-gap2_z3_t55s_E7.tif:0056-0237-0946:55",499,21,520,354,300,333,279,33.2665330661323,44.0881763527054,26,47,56,19.25,27.5,"3D_btd-gap2_z3_t55s_E7.tif:0046-0106-1336:45",398,365,42,46,14.6666666666667,24.4488977955912,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,TRUE,0.141818181818182,8.50909090909091
